clean_provider_group,clean_provider_model_class,revenue_source_method,wksht_cd,line_num_chr,clmn_num_chr,n_reports,median_value,mean_value,total_value,min_value,max_value
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02800,00300,4,111256403.5,115115564,460462256,93088260,144861189
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G300000,00100,00100,4,111256403.5,115115564,460462256,93088260,144861189
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G300000,00200,00100,4,80024655.5,77737142.75,310948571,35197060,115702200
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01800,00300,4,56398047.5,65909013,263636052,6420535,144419422
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02800,00100,4,54690628,60448265.75,241793063,6551202,125860605
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03600,00100,4,44702315.5,44757401.5,179029606,3089037,86535938
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,06000,00100,4,44702315.5,44757401.5,179029606,3089037,86535938
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02800,00200,4,43275970,54667298.25,218669193,601,132116652
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G300000,00300,00100,4,38950069,37378421.25,149513685,10159006,61454541
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,04300,00200,4,35358700,36051590,144206360,18016647,55472313
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G300000,00400,00100,4,35358700,36051590,144206360,18016647,55472313
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02900,00200,4,33970594,35357537,141430148,18016647,55472313
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01800,00100,4,28968256.5,32876144.5,131504578,6420535,67147530
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,01100,00200,4,27061118.5,25974102.75,103896411,3083041,46691133
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,00300,00200,4,27061118,25281201,101124804,311435,46691133
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,00100,00200,4,25799260.5,23317301.25,93269205,2557155,39113529
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01000,00100,4,25722371.5,26746945,106987780,130667,55412370
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01000,00300,4,25722371.5,26746945,106987780,130667,55412370
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01700,00100,4,25722371.5,26746945,106987780,130667,55412370
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01700,00300,4,25722371.5,26746945,106987780,130667,55412370
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,05100,00100,4,22636083.5,23928781.5,95715126,6004,50436955
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,05200,00100,4,20193542.5,20828620,83314480,3083033,39844362
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,05900,00100,4,20193542.5,20828620,83314480,3083033,39844362
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,01900,00200,4,20180633,20822165.25,83288661,3083033,39844362
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03400,00100,4,19041143.5,19870801,79483204,90000,41310917
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03500,00100,4,19041143.5,25374628,101498512,90000,63326225
