clean_provider_group,clean_provider_model_class,revenue_source_method,wksht_cd,line_num_chr,clmn_num_chr,n_rows,n_reports,nonzero_reports,min_value,p25_value,median_value,mean_value,p75_value,max_value,total_value
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,00100,00100,4,4,4,-117256,397985,702074.5,1390058.5,1694148,4273341,5560234
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,00200,00100,1,1,1,1434465,1434465,1434465,1434465,1434465,1434465,1434465
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,00400,00100,4,4,4,1522900,1702073.5,6578255,8639803.25,13515984.75,19879803,34559213
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,00500,00100,3,3,3,46518,62100.5,77683,548636,799695,1521707,1645908
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,00600,00100,2,2,2,-12369640,-9542038,-6714436,-6714436,-3886834,-1059232,-13428872
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,00700,00100,3,3,3,195676,200485,205294,639364.666666667,861209,1517124,1918094
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,00800,00100,4,4,4,107452,125413.75,219474,315730,409790.25,716520,1262920
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,00900,00100,1,1,1,5710929,5710929,5710929,5710929,5710929,5710929,5710929
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,01000,00100,2,2,2,92245,3105815.75,6119386.5,6119386.5,9132957.25,12146528,12238773
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,01100,00100,4,4,4,2025353,6457559.75,11558182.5,12725416,17826038.75,25759946,50901664
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,01500,00100,2,2,2,2137102,4847636.25,7558170.5,7558170.5,10268704.75,12979239,15116341
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,01600,00100,1,1,1,-1325495,-1325495,-1325495,-1325495,-1325495,-1325495,-1325495
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,01700,00100,2,2,2,2479262,3516180.25,4553098.5,4553098.5,5590016.75,6626935,9106197
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,01800,00100,1,1,1,-3602349,-3602349,-3602349,-3602349,-3602349,-3602349,-3602349
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,01900,00100,2,2,2,2164065,2553033,2942001,2942001,3330969,3719937,5884002
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,02000,00100,2,2,2,-1690024,-1284656.75,-879289.5,-879289.5,-473922.25,-68555,-1758579
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,02300,00100,4,4,4,3239623,3424144,3821848,6075346.75,6473050.75,13418068,24301387
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,02400,00100,4,4,4,-7869020,-6728438.75,-5137829,-5276995,-3686385.25,-2963302,-21107980
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,02500,00100,1,1,1,813819,813819,813819,813819,813819,813819,813819
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,02600,00100,1,1,1,-797913,-797913,-797913,-797913,-797913,-797913,-797913
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03000,00100,4,4,4,973684,3086561.5,5909582,6657357.5,9480378,13836582,26629430
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03100,00100,1,1,1,22015308,22015308,22015308,22015308,22015308,22015308,22015308
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03400,00100,4,4,4,90000,287865,19041143.5,19870801,38624079.5,41310917,79483204
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03500,00100,4,4,4,90000,287865,19041143.5,25374628,44127906.5,63326225,101498512
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03600,00100,4,4,4,3089037,17366282.25,44702315.5,44757401.5,72093434.75,86535938,179029606
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03700,00100,4,4,4,98832,452814.75,2350957.5,2308746.25,4206889,4434238,9234985
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03800,00100,3,3,3,377308,590988,804668,683220.333333333,836176.5,867685,2049661
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,03900,00100,1,1,1,25,25,25,25,25,25,25
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,04000,00100,1,1,1,158735,158735,158735,158735,158735,158735,158735
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,04200,00100,1,1,1,-558029,-558029,-558029,-558029,-558029,-558029,-558029
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,04400,00100,4,4,4,87893,764618,2679488,2513996.75,4428866.75,4609118,10055987
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,04500,00100,4,4,4,6004,3886446.25,5783880.5,5235341,7132775.25,9367599,20941364
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,04700,00100,3,3,3,70405,974843.5,1879282,1931103.33333333,2861452.5,3843623,5793310
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,04900,00100,3,3,3,12586930,14387477,16188024,22993484,28196761,40205498,68980452
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,05000,00100,3,3,3,12657335,15362320.5,18067306,24924587.3333333,31058213.5,44049121,74773762
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,05100,00100,4,4,4,6004,13379447.5,22636083.5,23928781.5,33185417.5,50436955,95715126
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,05200,00100,4,4,4,3083033,3986834.75,20193542.5,20828620,37035327.75,39844362,83314480
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,05900,00100,4,4,4,3083033,3986834.75,20193542.5,20828620,37035327.75,39844362,83314480
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G000000,06000,00100,4,4,4,3089037,17366282.25,44702315.5,44757401.5,72093434.75,86535938,179029606
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,00100,00200,4,4,4,2557155,11698668.75,25799260.5,23317301.25,37417893,39113529,93269205
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,00200,00200,4,4,4,-14434405,1005905,6225776,1963899.75,7183770.75,9838452,7855599
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,00300,00200,4,4,4,311435,6719882.75,27061118,25281201,45622436.25,46691133,101124804
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,00400,00100,1,1,1,1,1,1,1,1,1,1
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,00500,00100,1,1,1,2771606,2771606,2771606,2771606,2771606,2771606,2771606
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,01000,00200,2,2,2,1,692902.25,1385803.5,1385803.5,2078704.75,2771606,2771607
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,01100,00200,4,4,4,3083041,7412785,27061118.5,25974102.75,45622436.25,46691133,103896411
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,01200,00100,2,2,2,4593750,6090359,7586968,7586968,9083577,10580186,15173936
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,01300,00100,2,2,2,11964,1364433.5,2716903,2716903,4069372.5,5421842,5433806
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,01700,00100,1,1,1,8,8,8,8,8,8,8
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,01800,00200,4,4,4,8,3445314.5,5007796,5151937.5,6714419,10592150,20607750
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G100000,01900,00200,4,4,4,3083033,3967470.5,20180633,20822165.25,37035327.75,39844362,83288661
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,00100,00100,4,4,4,130667,363496.25,15037055,21404286.75,36077845.5,55412370,85617147
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,00100,00300,4,4,4,130667,363496.25,15037055,21404286.75,36077845.5,55412370,85617147
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,00700,00100,1,1,1,21370633,21370633,21370633,21370633,21370633,21370633,21370633
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,00700,00300,1,1,1,21370633,21370633,21370633,21370633,21370633,21370633,21370633
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01000,00100,4,4,4,130667,363496.25,25722371.5,26746945,52105820.25,55412370,106987780
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01000,00300,4,4,4,130667,363496.25,25722371.5,26746945,52105820.25,55412370,106987780
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01700,00100,4,4,4,130667,363496.25,25722371.5,26746945,52105820.25,55412370,106987780
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01700,00300,4,4,4,130667,363496.25,25722371.5,26746945,52105820.25,55412370,106987780
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01800,00100,4,4,4,6420535,10832707,28968256.5,32876144.5,51011694,67147530,131504578
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01800,00200,3,3,3,601,7741.5,14882,44043824.6666667,66065436.5,132115991,132131474
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01800,00300,4,4,4,6420535,35841106.75,56398047.5,65909013,86465953.75,144419422,263636052
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01900,00200,2,2,2,661,21634760.25,43268859.5,43268859.5,64902958.75,86537058,86537719
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,01900,00300,2,2,2,661,21634760.25,43268859.5,43268859.5,64902958.75,86537058,86537719
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02700,00100,1,1,1,3300705,3300705,3300705,3300705,3300705,3300705,3300705
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02700,00300,1,1,1,3300705,3300705,3300705,3300705,3300705,3300705,3300705
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02800,00100,4,4,4,6551202,11196203.25,54690628,60448265.75,103942690.5,125860605,241793063
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02800,00200,4,4,4,601,11311.75,43275970,54667298.25,97931956.5,132116652,218669193
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02800,00300,4,4,4,93088260,95760765.75,111256403.5,115115564,130611201.75,144861189,460462256
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,02900,00200,4,4,4,18016647,20932938.75,33970594,35357537,48395192.25,55472313,141430148
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,03000,00100,1,1,1,4601,4601,4601,4601,4601,4601,4601
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,03100,00100,2,2,2,5,692905.25,1385805.5,1385805.5,2078705.75,2771606,2771611
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,03600,00200,2,2,2,4606,696356,1388106,1388106,2079856,2771606,2776212
Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,G200000,04300,00200,4,4,4,18016647,23011643.25,35358700,36051590,48398646.75,55472313,144206360
