rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_model_class,clean_provider_group,revenue_source_method,revenue_use_for_model_flag,operating_revenue_candidate,operating_income_candidate,operating_margin_candidate,diagnostic_margin_stress_tier,diagnostic_margin_note,stabilization_tier,stabilization_basis,annual_transition_support_cap_model
828099,244005,CHILD & ADOLESCENT BEH. HEALTH SRVS.,ST. PAUL,MN,Critical access hospital,Children's / pediatric hospital,Children's / pediatric,nonstandard_g200000_l04300_fallback,TRUE,9563974,-9563974,-1,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,9563.974
822994,452102,COVENANT SPECIALTY HOSPITAL,LUBBOCK,TX,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,24676642,-14517636,-0.588314893087966,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,0.485102820800875
827649,403301,UNIVERSITY PEDIATRIC HOSPITAL,SAN JUAN,PR,Critical access hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,82343514,-42426202,-0.515234290341313,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,42157.56
831361,424015,MIDLANDS BEHAVIORAL HEALTH HOSPITAL,SUMTER,SC,Children's hospital,Children's / pediatric hospital,Children's / pediatric,children_total_only_fallback,TRUE,8694352,-4314574,-0.496250209331299,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,19709.001
811019,320091,THREE CROSSES REGIONAL HOSPITAL,LAS CRUCES,NM,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,115017204,-44947012,-0.390785121154571,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class + UC burden,381778.035358545
817533,230144,FOREST HEALTH MEDICAL CENTER LLC,YPSILANTI,MI,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,42619736,-10598367,-0.248672751046604,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class + UC burden,229353.126994512
824716,050778,LOMA LINDA UNIVERSITY CHILDRENS HOSP,LOMA LINDA,CA,Short-term acute/general hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,691716945,-151761923,-0.219398879985512,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class + UC burden,1127098.18103669
829145,454094,MEDICAL CITY GREEN OAKS HOSPITAL,DALLAS,TX,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,44808787,-9193108,-0.205163063217935,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,35696.7843891425
816290,444019,BEHAVIORAL HEALTHCARE CENTERS LLC,CLARKSVILLE,TN,Children's hospital,Children's / pediatric hospital,Children's / pediatric,children_total_only_fallback,TRUE,5852266,-977721,-0.167067081366431,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,21935.4525
830082,042011,ADVANCED CARE HOSPITAL OF WHITE CO.,SEARCY,AR,Children's hospital,Children's / pediatric hospital,Children's / pediatric,children_total_only_fallback,TRUE,7257723,-1088347,-0.149957087091916,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,27762.192
798537,040019,FORREST CITY MEDICAL CENTER,FORREST CITY,AR,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,37829546,-4940122,-0.130588984599498,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class + UC burden,246931.773060976
817432,033043,REUNION REHABILITATION HOSPITAL PHOE,PHOENIX,AZ,Children's hospital,Children's / pediatric hospital,Children's / pediatric,children_total_only_fallback,TRUE,17724534,-1901482,-0.107279661061893,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,71203.734
821187,393027,ENCOMPASS HEALTH REHABILITATION HOSP,PITTSBURGH,PA,Children's hospital,Children's / pediatric hospital,Children's / pediatric,children_total_only_fallback,TRUE,21350649,-2085734,-0.0976894894389393,3,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,86692.1175
