provider_model_class,wksht_cd,line_num_chr,clmn_num_chr,n_rows,n_reports,nonzero_reports,min_value,p25_value,median_value,mean_value,p75_value,max_value,total_value
Children's hospital,G000000,00100,00100,65,65,65,-12577920,85914,1024313,2047260.90769231,3263272,21392008,133071959
Children's hospital,G000000,00200,00100,2,2,2,1434465,1941848.75,2449232.5,2449232.5,2956616.25,3464000,4898465
Children's hospital,G000000,00300,00100,3,3,3,25522,7359296.5,14693071,15885788,23815921,32938771,47657364
Children's hospital,G000000,00400,00100,67,67,67,-730707,2038273.5,3660566,17053691.8059702,15665406.5,154821609,1142597351
Children's hospital,G000000,00500,00100,34,34,34,-6251319,2946,61210,2281106.97058824,708676,48803038,77557637
Children's hospital,G000000,00600,00100,42,42,42,-117746891,-14862708.25,-2255215.5,-16092032.3809524,-647205,3226297,-675865360
Children's hospital,G000000,00700,00100,54,54,54,287,53425.75,175628,1136262.37037037,1344420,11425527,61358168
Children's hospital,G000000,00800,00100,63,63,63,-5742486,58653,131401,1287437.06349206,422752,47894491,81108535
Children's hospital,G000000,00900,00100,19,19,19,-128068,32710,175689,8681464.63157895,2522266,113510000,164947828
Children's hospital,G000000,01000,00100,7,7,7,24773,59592,631870,2717294.28571429,3049352.5,12146528,19021060
Children's hospital,G000000,01100,00100,67,67,67,-5392014,3183952.5,4826333,15766462.7910448,16927247,151587000,1056353007
Children's hospital,G000000,01200,00100,13,13,13,24657,425197,975000,4620587.15384615,3361130,32300000,60067633
Children's hospital,G000000,01300,00100,16,16,16,980,36827,112660,472713.0625,334871.5,2601200,7563409
Children's hospital,G000000,01400,00100,13,13,13,-1965696,-346632,-102730,-354815.538461539,-30261,-235,-4612602
Children's hospital,G000000,01500,00100,36,36,36,14241,3698535.75,8641556.5,17268838.4444444,17404964.75,145711686,621678184
Children's hospital,G000000,01600,00100,33,33,33,-30870808,-7623275,-3942628,-6359353.93939394,-1861042,-2735,-209858680
Children's hospital,G000000,01700,00100,40,40,40,5368,143503.5,729002.5,7048680.675,2624193.25,134281507,281947227
Children's hospital,G000000,01800,00100,37,37,37,-21782423,-2276800,-231640,-2035180.48648649,-25378,-357,-75301678
Children's hospital,G000000,01900,00100,29,29,29,24192,440812,931626,1905846.13793103,2964000,9136251,55269538
Children's hospital,G000000,02000,00100,30,30,30,-5852092,-1472230,-408591.5,-1012801.56666667,-105666,-3443,-30384047
