rpt_rec_num,revenue_source_method,revenue_use_for_model_flag,standard_revenue_use_for_model_flag,rural_fallback_use_for_model_flag,children_total_only_fallback_use_for_model_flag,nonstandard_fallback_use_for_model_flag,rural_fallback_available_flag,children_total_only_fallback_available_flag,nonstandard_fallback_candidate_flag,nonstandard_fallback_failed_plausibility_flag,fallback_crosscheck_ratio,fallback_crosscheck_plausible_flag,rural_fallback_net_to_gross_ratio,rural_fallback_net_to_gross_plausible_flag,children_total_only_net_to_gross_ratio,children_total_only_net_to_gross_plausible_flag,nonstandard_fallback_net_to_gross_ratio,nonstandard_fallback_net_to_gross_plausible_flag,gross_inpatient_patient_revenue,gross_outpatient_patient_revenue,gross_total_patient_revenue,gross_revenue_sum_check,gross_total_minus_inpatient_outpatient,net_patient_revenue,net_to_gross_ratio,outpatient_gross_share,inpatient_gross_share,net_outpatient_exposure_base,net_outpatient_exposure_low,net_outpatient_exposure_high,standard_gross_inpatient_patient_revenue,standard_gross_outpatient_patient_revenue,standard_gross_total_patient_revenue,standard_net_patient_revenue,standard_net_to_gross_ratio,standard_outpatient_gross_share,standard_inpatient_gross_share,standard_net_outpatient_exposure_base,fallback_g200000_l04300_c002,fallback_g300000_l00400_c001,fallback_g200000_l02900_c002,fallback_total_revenue,rural_fallback_net_patient_revenue_proxy,rural_fallback_outpatient_share_low,rural_fallback_outpatient_share_base,rural_fallback_outpatient_share_high,rural_fallback_net_outpatient_exposure_low,rural_fallback_net_outpatient_exposure_base,rural_fallback_net_outpatient_exposure_high,children_fallback_g200000_l02800_c003,children_fallback_g200000_l02800_c001,children_fallback_g300000_l00100_c001,children_fallback_g300000_l00300_c001,children_fallback_total_revenue,children_fallback_net_patient_revenue,children_fallback_outpatient_share_low,children_fallback_outpatient_share_base,children_fallback_outpatient_share_high,children_fallback_net_outpatient_exposure_low,children_fallback_net_outpatient_exposure_base,children_fallback_net_outpatient_exposure_high,nonstandard_fallback_net_patient_revenue_proxy,nonstandard_fallback_outpatient_share_low,nonstandard_fallback_outpatient_share_base,nonstandard_fallback_outpatient_share_high,nonstandard_fallback_net_outpatient_exposure_low,nonstandard_fallback_net_outpatient_exposure_base,nonstandard_fallback_net_outpatient_exposure_high,g3_line_00400_c001,g3_line_00500_c001,g3_line_00600_c001,g3_line_00700_c001,g2_revenue_complete_flag,g3_net_patient_revenue_complete_flag,net_to_gross_plausible_flag,gross_sum_check_plausible_flag
795740,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.893959067135255,FALSE,1,FALSE,0.893959067135255,FALSE,25977679,18395,25996074,25996074,0,25996074,1,0.000707606848634144,0.999292393151366,18395,18395,18395,25977679,18395,25996074,25996074,1,0.000707606848634144,0.999292393151366,18395,29079714,29079714,29079714,29079714,25996074,0.2,0.3,0.4,,,,25996074,25977679,25996074,25996074,25996074,25996074,0.3,0.45,0.6,,,,25996074,0.05,0.1,0.15,,,,29079714,-3083640,,,TRUE,TRUE,TRUE,TRUE
796825,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.00296093805241,FALSE,0.232308133809055,FALSE,1.00296093805241,FALSE,89759858,372331233,462091091,462091091,0,107347519,0.232308133809055,0.805752892128362,0.194247107871638,86495573.8970543,86495573.8970543,86495573.8970543,89759858,372331233,462091091,107347519,0.232308133809055,0.805752892128362,0.194247107871638,86495573.8970543,107030608,107030608,107030608,107030608,107347519,0.2,0.3,0.4,,,,462091091,89759858,462091091,107347519,462091091,107347519,0.3,0.45,0.6,,,,107347519,0.05,0.1,0.15,,,,107030608,316911,322307,80639,TRUE,TRUE,TRUE,TRUE
798155,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.21569155304694,FALSE,0.433889931321792,FALSE,1.21569155304694,FALSE,8203185,112257006,120460191,120460191,0,52266464,0.433889931321792,0.931901278489588,0.0680987215104117,48707184.62373,48707184.62373,48707184.62373,8203185,112257006,120460191,52266464,0.433889931321792,0.931901278489588,0.0680987215104117,48707184.62373,42993195,42993195,42993195,42993195,52266464,0.2,0.3,0.4,,,,120460191,8203185,120460191,52266464,120460191,52266464,0.3,0.45,0.6,,,,52266464,0.05,0.1,0.15,,,,42993195,9273269,90341,96860,TRUE,TRUE,TRUE,TRUE
798165,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.910467499232528,FALSE,0.544250752012214,FALSE,0.910467499232528,FALSE,39298814,9014896,48313710,48313710,0,26294773,0.544250752012214,0.186590845538461,0.813409154461539,4906363.9273119,4906363.9273119,4906363.9273119,39298814,9014896,48313710,26294773,0.544250752012214,0.186590845538461,0.813409154461539,4906363.9273119,28880518,28880518,28880518,28880518,26294773,0.2,0.3,0.4,,,,48313710,39298814,48313710,26294773,48313710,26294773,0.3,0.45,0.6,,,,26294773,0.05,0.1,0.15,,,,28880518,-2585745,,162927,TRUE,TRUE,TRUE,TRUE
798270,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.53383589531509,FALSE,0.398391229116349,FALSE,1.53383589531509,FALSE,13171040,121632618,134803658,134803658,0,53704595,0.398391229116349,0.902294639511934,0.0977053604880663,48457368.1856594,48457368.1856594,48457368.1856594,13171040,121632618,134803658,53704595,0.398391229116349,0.902294639511934,0.0977053604880663,48457368.1856594,35013260,35013260,35013260,35013260,53704595,0.2,0.3,0.4,,,,134803658,13171040,134803658,53704595,134803658,53704595,0.3,0.45,0.6,,,,53704595,0.05,0.1,0.15,,,,35013260,18691335,232029,-41203,TRUE,TRUE,TRUE,TRUE
798381,rural_g200000_l04300_fallback,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,1,TRUE,,FALSE,1,FALSE,,,343276245,,,343276245,1,0.3,0.7,102982873.5,68655249,137310498,,,,,,,,,343276245,343276245,343276245,343276245,343276245,0.2,0.3,0.4,68655249,102982873.5,137310498,,,,,,,0.3,0.45,0.6,,,,343276245,0.05,0.1,0.15,,,,343276245,-343276245,,,FALSE,FALSE,TRUE,FALSE
798426,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.41890164434239,FALSE,0.389997315443499,FALSE,1.41890164434239,FALSE,12721645,172981282,185702927,185702927,0,72423643,0.389997315443499,0.931494644669763,0.0685053553302367,67462235.6019748,67462235.6019748,67462235.6019748,12721645,172981282,185702927,72423643,0.389997315443499,0.931494644669763,0.0685053553302367,67462235.6019748,51042046,51042046,51042046,51042046,72423643,0.2,0.3,0.4,,,,185702927,12721645,185702927,72423643,185702927,72423643,0.3,0.45,0.6,,,,72423643,0.05,0.1,0.15,,,,51042046,21381597,22938,245928,TRUE,TRUE,TRUE,TRUE
798531,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.89072377421063,FALSE,0.357059108329146,FALSE,0.89072377421063,FALSE,657558656,530597193,1188155849,1188155849,0,424241868,0.357059108329146,0.446572049825427,0.553427950174573,189454560.614528,189454560.614528,189454560.614528,657558656,530597193,1188155849,424241868,0.357059108329146,0.446572049825427,0.553427950174573,189454560.614528,476288924,476288924,475267187,476288924,424241868,0.2,0.3,0.4,,,,1188155849,657558656,1188155849,424241868,1188155849,424241868,0.3,0.45,0.6,,,,424241868,0.05,0.1,0.15,,,,476288924,-52047056,,,TRUE,TRUE,TRUE,TRUE
798532,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.04046674314382,FALSE,0.231979625998802,FALSE,1.04046674314382,FALSE,516491903,477795660,994287563,994287563,0,230654457,0.231979625998802,0.480540718580828,0.519459281419172,110838858.510651,110838858.510651,110838858.510651,516491903,477795660,994287563,230654457,0.231979625998802,0.480540718580828,0.519459281419172,110838858.510651,221683642,221683642,269900712,221683642,230654457,0.2,0.3,0.4,,,,994287563,516491903,994287563,230654457,994287563,230654457,0.3,0.45,0.6,,,,230654457,0.05,0.1,0.15,,,,221683642,8970815,,,TRUE,TRUE,TRUE,TRUE
798535,rural_g200000_l04300_fallback,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,1,TRUE,,FALSE,1,FALSE,,,69561772,,,69561772,1,0.3,0.7,20868531.6,13912354.4,27824708.8,,,,,,,,,69561772,69561772,69561772,69561772,69561772,0.2,0.3,0.4,13912354.4,20868531.6,27824708.8,,,,,,,0.3,0.45,0.6,,,,69561772,0.05,0.1,0.15,,,,69561772,-69561772,,,FALSE,FALSE,TRUE,FALSE
