rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_model_class,clean_provider_group,revenue_source_method,revenue_use_for_model_flag,hospital_beds,gross_total_patient_revenue,net_patient_revenue,net_outpatient_exposure_base,uncompensated_care_cost,uc_to_net_patient_revenue_ratio,uc_burden_percentile_within_clean_group,operating_margin_candidate,diagnostic_margin_stress_tier,diagnostic_margin_note,baseline_class_stabilization_tier,safety_net_burden_tier,stabilization_tier,stabilization_basis,transition_support_cap_rate,annual_transition_support_cap_model,classification_needs_external_validation_flag,stabilization_review_priority
821010,450035,ST JOSEPH MEDICAL CENTER,HOUSTON,TX,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,156,751259822,175603152,77947169.4043469,22527113,0.12828421781404,1,-0.0284631239133374,2,diagnostic margin stress; not used for final tier,2,3,Tier 3 - high transition support,class + UC burden,0.02,1558943.38808694,FALSE,High - Tier 3 UC/class
827418,310119,UH - UNIVERSITY HOSPITAL,NEWARK,NJ,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,358,3779621150,858792817,319852128.416983,92394486,0.107586468087564,0.932119205298013,-0.200009799496159,4,diagnostic severe margin stress; not used for final tier,0,3,Tier 3 - high transition support,UC burden safety-net trigger,0.02,6397042.56833966,TRUE,High - Tier 3 UC/class
825907,450046,CHRISTUS SPOHN HOSP CORPUS CHRISTI,CORPUS CHRISTI,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,TRUE,515,5083545108,755544899,391930994.942911,108599879,0.143737161277559,0.973509933774834,0.013422883760151,0,no diagnostic margin stress,0,3,Tier 3 - high transition support,UC burden safety-net trigger,0.02,7838619.89885821,FALSE,High - Tier 3 UC/class
824190,450056,ASCENSION SETON MEDICAL CENTER,AUSTIN,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,TRUE,399,4807518832,821502963,286184911.127891,91215049,0.111034351801845,0.943708609271523,0.0816289423216633,0,no diagnostic margin stress,0,3,Tier 3 - high transition support,UC burden safety-net trigger,0.02,5723698.22255781,FALSE,High - Tier 3 UC/class
832231,450237,SANTA ROSA HEALTHCARE,SAN ANTONIO,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,TRUE,354,3170540287,522674868,286014024.897827,53054343,0.101505441046,0.927152317880795,-0.118617799718994,4,diagnostic severe margin stress; not used for final tier,0,3,Tier 3 - high transition support,UC burden safety-net trigger,0.02,5720280.49795655,FALSE,High - Tier 3 UC/class
825661,450034,CHRISTUS HOSPITAL,BEAUMONT,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,TRUE,349,2627273099,437948678,245844478.02494,48014499,0.109634990152887,0.940397350993378,0.00806256373491634,0,no diagnostic margin stress,0,3,Tier 3 - high transition support,UC burden safety-net trigger,0.02,4916889.5604988,FALSE,High - Tier 3 UC/class
831812,450272,CHRISTUS SANTA ROSA - SAN MARCOS,SAN MARCOS,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,TRUE,117,1076415994,175494808,110025199.099747,17736210,0.101064015523468,0.923841059602649,0.0504000568465797,0,no diagnostic margin stress,0,3,Tier 3 - high transition support,UC burden safety-net trigger,0.02,2200503.98199494,FALSE,High - Tier 3 UC/class
823985,670041,ASCENSION SETON WILLIAMSON,ROUND ROCK,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,TRUE,181,2084192685,280670410,97580743.284256,30466804,0.108550110430237,0.933774834437086,0.1089934272825,0,no diagnostic margin stress,0,3,Tier 3 - high transition support,UC burden safety-net trigger,0.02,1951614.86568512,FALSE,High - Tier 3 UC/class
830480,450236,CHRISTUS MF - SULPHUR SPRINGS,SULPHUR SPRINGS,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,TRUE,56,918409954,132636281,95528984.2009035,13588443,0.102448914411284,0.928807947019868,0.0961419201778048,0,no diagnostic margin stress,0,3,Tier 3 - high transition support,UC burden safety-net trigger,0.02,1910579.68401807,FALSE,High - Tier 3 UC/class
825317,520078,ASCENSION ST. FRANCIS HOSPITAL,MILWAUKEE,WI,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,standard_g2_l028_split,TRUE,73,417847100,106240766,92157852.7767111,11659658,0.10974749560823,0.94205298013245,-0.211724963503589,4,diagnostic severe margin stress; not used for final tier,0,3,Tier 3 - high transition support,UC burden safety-net trigger,0.02,1843157.05553422,FALSE,High - Tier 3 UC/class
