Rpt Rec Num,Prvdr Num Chr,Provider Name,City,State Abbrev,Clean Provider Group,Clean Provider Model Class,Revenue Source Method,Net Patient Revenue Model,Outpatient Exposure Used,Outpatient Repricing Pressure,Uncompensated Care Offset,Stabilization Support,Net Provider Impact,Net Provider Impact Pct of Npr,Stabilization Tier,Stabilization Basis,Large Negative Impact Flag,Severe Negative Impact Flag,Permanent Rural Access Eligible Flag,Pediatric Transition Eligible Flag,Case F Temporary Support,Case F Permanent Rural Access Support,Case F Total Added Support,Case F Net Impact,Case F Net Impact Pct Npr
824549,174022,OSAWATOMIE STATE HOSPITAL,OSAWATOMIE,KS,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,1261450,6818534.6,-681853.46,$0,$0,-681853.46,-0.540531499464902,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$12,614",$0,"$12,614","-$669,239",-0.530531499464902
824120,314013,TRENTON PSYCHIATRIC HOSPITAL,W. TRENTON,NJ,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,2651352,11735926.6,-1173592.66,$0,$0,-1173592.66,-0.442639325144304,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$26,514",$0,"$26,514","-$1,147,079",-0.432639325144304
829574,100298,FLORIDA STATE HOSPITAL,CHATTACHOOCHEE,FL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,4673151,18221958.8,-1822195.88,$0,$0,-1822195.88,-0.38992873973043,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$46,732",$0,"$46,732","-$1,775,464",-0.37992873973043
825602,314016,GREYSTONE PARK PSYCH. HOSPITAL,GREYSTONE PARK,NJ,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,4581218,13282551.1,-1328255.11,$0,$0,-1328255.11,-0.28993492778558,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$45,812",$0,"$45,812","-$1,282,443",-0.27993492778558
829435,104001,SOUTH FLORIDA STATE HOSPITAL,PEMBROKE PINES,FL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,1761750,4219852.1,-421985.21,$0,$0,-421985.21,-0.239526158649071,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$17,618",$0,"$17,618","-$404,368",-0.229526158649071
825601,314005,ANCORA PSYCHIATRIC HOSPITAL,ANCORA,NJ,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,6124099,13374210.3,-1337421.03,$0,$0,-1337421.03,-0.218386578989007,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$61,241",$0,"$61,241","-$1,276,180",-0.208386578989007
825734,64003,COLORADO MENTAL HEALTH INST-FT LOGAN,DENVER,CO,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,3449599,6295060.5,-629506.05,$0,$0,-629506.05,-0.182486732515866,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$34,496",$0,"$34,496","-$595,010",-0.172486732515866
827961,494021,WESTERN STATE HOSPITAL,STAUNTON,VA,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,7459541,11049694.8,-1104969.48,$0,$0,-1104969.48,-0.14812834730716,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$74,595",$0,"$74,595","-$1,030,374",-0.13812834730716
827821,254009,NORTH MISSISSIPPI STATE HOSPITAL,TUPELO,MS,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,653603,966429,-96642.9,$0,$0,-96642.9,-0.147861775420247,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$6,536",$0,"$6,536","-$90,107",-0.137861775420247
826605,104007,NORTHEAST FLORIDA STATE HOSPITAL,MACCLENNY,FL,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,7602808,10598124.9,-1059812.49,$0,$0,-1059812.49,-0.139397508131206,Tier 0 - not eligible,none,TRUE,TRUE,FALSE,FALSE,"$76,028",$0,"$76,028","-$983,784",-0.129397508131206
