Rpt Rec Num,Prvdr Num Chr,Provider Name,City,State Abbrev,Clean Provider Model Class,Revenue Source Method,Stabilization Tier,Stabilization Basis,Net Patient Revenue Model,Outpatient Exposure Used,Outpatient Repricing Pressure,Uncompensated Care Offset,Stabilization Support,Base Net Impact,Base Net Impact Pct Npr,Current Access Support,Current Access Net Impact Pct Npr,Enhanced Access Support,Enhanced Access Net Impact Pct Npr,Enhanced Plus Floor 1 5pct Support,Enhanced Plus Floor 1 5pct Net Impact Pct Npr,High Plus Floor 1pct Support,High Plus Floor 1pct Net Impact Pct Npr
825509,121301,KAU HOSPITAL,PAHALA,HI,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class-based transition protection,49861515,44354974.1654203,-4435497.41654203,"$18,879","$443,550","-$3,973,069",-0.0796820689240555,"$498,615",-0.0696820689240556,"$997,230",-0.0596820689240556,3225145.94988783,-0.015,3474453.52488783,-0.01
823849,141336,ST. JOSEPHS HOSPITAL-HIGHLAND IL,HIGHLAND,IL,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,57088657,49746385.7153778,-4974638.57153778,"$281,940","$497,464","-$4,195,235",-0.0734863094499492,"$570,887",-0.0634863094499492,"$1,141,773",-0.0534863094499492,3338904.85938401,-0.015,3624348.14438401,-0.01
824336,321307,MINER OF COLFAX MEDICAL CENTER,RATON,NM,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,22059559,18012475.6556464,-1801247.56556464,"$18,245","$180,125","-$1,602,878",-0.0726613827143223,"$220,596",-0.0626613827143222,"$441,191",-0.0526613827143222,1271984.67400817,-0.015,1382282.46900817,-0.01
813507,501309,PROVIDENCE ST JOSEPHS HOSPITAL,CHEWELAH,WA,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,23761643,20789166.2924083,-2078916.62924083,"$169,930","$207,892","-$1,701,095",-0.0715899450352294,"$237,616",-0.0615899450352293,"$475,233",-0.0515899450352293,1344670.07131674,-0.015,1463478.28631674,-0.01
825760,140145,ST. JOSEPHS HOSPITAL,BREESE,IL,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,77073776,63644276.7479283,-6364427.67479283,"$368,471","$636,443","-$5,359,514",-0.0695374475659989,"$770,738",-0.059537447565999,"$1,541,476",-0.049537447565999,4203407.01731355,-0.015,4588775.89731355,-0.01
827959,490104,HIRAM W DAVIS MEDICAL CENTER - MS,PETERSBURG,VA,CAH candidate - internally safe,nonstandard_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,18723274,13341592.1,-1334159.21,$0,"$133,416","-$1,200,743",-0.0641310536287617,"$187,233",-0.0541310536287617,"$374,465",-0.0441310536287617,919894.179,-0.015,1013510.549,-0.01
815839,241314,JOHNSON MEMORIAL HOSPITAL,DAWSON,MN,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,25001212,16752494.7232483,-1675249.47232483,"$31,898","$167,525","-$1,475,827",-0.0590301992196358,"$250,012",-0.0490301992196358,"$500,024",-0.0390301992196358,1100808.34509235,-0.015,1225814.40509235,-0.01
826282,54124,HUMBOLDT COUNTY - SEMPREVIRENS,EUREKA,CA,CAH candidate - internally safe,nonstandard_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,11835355,7746660.4,-774666.04,$0,"$77,467","-$697,199",-0.0589081980219436,"$118,354",-0.0489081980219436,"$236,707",-0.0389081980219436,519669.111,-0.015,578845.886,-0.01
828323,121306,SAMUEL MAHELONA MEMORIAL HOSPITAL,KAPAA KAUAI,HI,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,46351698,32030663.922828,-3203066.3922828,"$172,461","$320,307","-$2,710,299",-0.0584724857987839,"$463,517",-0.0484724857987839,"$927,034",-0.0384724857987839,2015023.53305452,-0.015,2246782.02305452,-0.01
828322,121300,KAUAI VETERANS MEMORIAL HOSPITAL,WAIMEA KAUAI,HI,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,55584084,34196264.5319083,-3419626.45319084,"$98,863","$341,963","-$2,978,801",-0.0535909039694124,"$555,841",-0.0435909039694124,"$1,111,682",-0.0335909039694124,2145040.04787175,-0.015,2422960.46787175,-0.01
826045,351336,ST JOSEPHS HOSPITAL & HEALTH CTR,DICKINSON,ND,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,76364152,57776778.2775926,-5777677.82775926,"$1,585,032","$577,768","-$3,614,878",-0.0473373657705691,"$763,642",-0.0373373657705692,"$1,527,283",-0.0273373657705692,2469415.51498334,-0.015,2851236.27498334,-0.01
800937,150162,FRANCISCAN HEALTH INDIANAPOLIS,INDIANAPOLIS,IN,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,939880287,537407066.015362,-53740706.6015362,"$4,551,844","$5,374,071","-$43,814,792",-0.0466174182472056,"$3,000,000",-0.0434255223839827,"$5,000,000",-0.0412975918085008,29716588.1363826,-0.015,34415989.5713826,-0.01
825134,121304,KAHUKU MEDICAL CENTER,KAHUKU,HI,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,24367339,14853390.229242,-1485339.0229242,"$227,279","$148,534","-$1,109,527",-0.04553335186217,"$243,673",-0.0355333518621701,"$487,347",-0.0255333518621701,744016.53563178,-0.015,865853.23063178,-0.01
823853,150126,FRANCISCAN HEALTH CROWN POINT,CROWN POINT,IN,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,324301272,183275292.038553,-18327529.2038553,"$1,788,105","$1,832,753","-$14,706,672",-0.0453487938631021,"$3,000,000",-0.036098136344867,"$5,000,000",-0.0299310313327103,9842152.4534698,-0.015,11463658.8134698,-0.01
798765,21305,WRANGELL MEDICAL CENTER,WRANGELL,AK,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,19081407,10769955.8404577,-1076995.58404577,"$116,212","$107,700","-$853,084",-0.0447076190786764,"$190,814",-0.0347076190786764,"$381,628",-0.0247076190786764,566863.170641189,-0.015,662270.205641189,-0.01
812664,153048,INDIANAPOLIS REHABILITATION HOSPITAL,CARMEL,IN,Rural primary care / IHS-like hospital,children_total_only_fallback,Tier 2 - moderate transition support,class-based transition protection,21498704,9674416.8,-967441.68,$0,"$96,744","-$870,698",-0.0405,"$214,987",-0.0305,"$429,974",-0.0205,548216.952,-0.015,655710.472,-0.01
826506,330140,ST. JOSEPHS HOSPITAL HEALTH CENTER,SYRACUSE,NY,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,631528567,291555570.613692,-29155557.0613692,"$1,822,046","$2,915,556","-$24,417,955",-0.0386648465028697,"$3,000,000",-0.0339144675702886,"$5,000,000",-0.0307475482819011,14945026.6002323,-0.015,18102669.4352323,-0.01
