Provider Group,Provider Impact Bucket (% of NPR),Providers,Net Patient Revenue ($B),Net Provider Impact ($B),Median Provider Impact (% of NPR)
All modeled providers,-1% to 0%,66,6.59,-0.03,-0.1
All modeled providers,-10% to -5%,307,78.03,-4.77,-6.5
All modeled providers,-2.5% to -1%,134,21.35,-0.35,-1
All modeled providers,-5% to -2.5%,356,157.71,-6.18,-4
All modeled providers,0% to 1%,4,0.44,0,0.8
All modeled providers,1% to 2.5%,3,0.16,0,1.3
All modeled providers,2.5% to 5%,2,0.57,0.03,4.6
All modeled providers,<= -10%,13,0.05,-0.01,-18.2
All modeled providers,> 10%,1,0.02,0,21.9
Children's / pediatric,-1% to 0%,9,0.39,0,-0.8
Children's / pediatric,-10% to -5%,20,2.17,-0.14,-7.1
Children's / pediatric,-2.5% to -1%,7,1.76,-0.03,-1.6
Children's / pediatric,-5% to -2.5%,35,1.72,-0.07,-4
Children's / pediatric,0% to 1%,2,0.11,0,0.5
General acute / academic,-1% to 0%,21,4.61,-0.02,-0.3
General acute / academic,-10% to -5%,255,74.48,-4.54,-6.4
General acute / academic,-2.5% to -1%,63,15.01,-0.27,-1
General acute / academic,-5% to -2.5%,260,144.9,-5.78,-4
General acute / academic,0% to 1%,1,0.28,0,0.8
General acute / academic,1% to 2.5%,2,0.14,0,1.5
General acute / academic,2.5% to 5%,1,0.54,0.03,4.6
General acute / academic,<= -10%,1,0,0,-11.7
Rural / CAH / IHS,-1% to 0%,6,0.11,0,-0.5
Rural / CAH / IHS,-10% to -5%,10,0.39,-0.03,-6.7
Rural / CAH / IHS,-2.5% to -1%,3,0.25,0,-2
Rural / CAH / IHS,-5% to -2.5%,47,10.3,-0.31,-2.7
Rural / CAH / IHS,0% to 1%,1,0.05,0,0.8
Rural / CAH / IHS,1% to 2.5%,1,0.02,0,1.3
Specialty / behavioral / rehab,-1% to 0%,30,1.48,0,0
Specialty / behavioral / rehab,-10% to -5%,22,0.99,-0.07,-7.5
Specialty / behavioral / rehab,-2.5% to -1%,61,4.33,-0.05,-1
Specialty / behavioral / rehab,-5% to -2.5%,14,0.79,-0.03,-3.5
Specialty / behavioral / rehab,2.5% to 5%,1,0.03,0,4.5
Specialty / behavioral / rehab,<= -10%,12,0.04,-0.01,-20
Specialty / behavioral / rehab,> 10%,1,0.02,0,21.9
