rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_group,clean_provider_model_class,revenue_source_method,net_patient_revenue_model,outpatient_exposure_used,outpatient_repricing_pressure,uncompensated_care_offset,stabilization_support,net_provider_impact,net_provider_impact_pct_of_npr,stabilization_tier,stabilization_basis,transition_support_cap_rate,annual_transition_support_cap_model,large_negative_impact_flag,severe_negative_impact_flag,permanent_rural_access_eligible_flag,pediatric_transition_eligible_flag,high_stabilization_tier_flag,case_B_temporary_support,case_C_temporary_support,case_D_permanent_rural_access_support,case_E_temporary_support,case_F_temporary_support,case_F_permanent_rural_access_support,case_F_total_added_support,case_A_net_impact,case_A_net_impact_pct_npr,case_B_net_impact,case_B_net_impact_pct_npr,case_C_net_impact,case_C_net_impact_pct_npr,case_D_net_impact,case_D_net_impact_pct_npr,case_E_net_impact,case_E_net_impact_pct_npr,case_F_net_impact,case_F_net_impact_pct_npr,phasein_year1_net_impact,phasein_year1_net_impact_pct_npr,phasein_year2_net_impact,phasein_year2_net_impact_pct_npr,phasein_year3_net_impact,phasein_year3_net_impact_pct_npr,phasein_year4_plus_net_impact,phasein_year4_plus_net_impact_pct_npr
824549,174022,OSAWATOMIE STATE HOSPITAL,OSAWATOMIE,KS,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,1261450,6818534.6,-681853.46,0,0,-681853.46,-0.540531499464902,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,12614.5,0,0,0,12614.5,0,12614.5,-681853.46,-0.540531499464902,-669238.96,-0.530531499464902,-681853.46,-0.540531499464901,-681853.46,-0.540531499464901,-681853.46,-0.540531499464901,-669238.96,-0.530531499464902,-272741.384,-0.216212599785961,-409112.076,-0.324318899678941,-545482.768,-0.432425199571921,-681853.46,-0.540531499464901
824120,314013,TRENTON PSYCHIATRIC HOSPITAL,W. TRENTON,NJ,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,2651352,11735926.6,-1173592.66,0,0,-1173592.66,-0.442639325144304,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,26513.52,0,0,0,26513.52,0,26513.52,-1173592.66,-0.442639325144304,-1147079.14,-0.432639325144304,-1173592.66,-0.442639325144304,-1173592.66,-0.442639325144304,-1173592.66,-0.442639325144304,-1147079.14,-0.432639325144304,-469437.064,-0.177055730057721,-704155.596,-0.265583595086582,-938874.128,-0.354111460115443,-1173592.66,-0.442639325144304
829574,100298,FLORIDA STATE HOSPITAL,CHATTACHOOCHEE,FL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,4673151,18221958.8,-1822195.88,0,0,-1822195.88,-0.38992873973043,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,46731.51,0,0,0,46731.51,0,46731.51,-1822195.88,-0.38992873973043,-1775464.37,-0.37992873973043,-1822195.88,-0.38992873973043,-1822195.88,-0.38992873973043,-1822195.88,-0.38992873973043,-1775464.37,-0.37992873973043,-728878.352,-0.155971495892172,-1093317.528,-0.233957243838258,-1457756.704,-0.311942991784344,-1822195.88,-0.38992873973043
825602,314016,GREYSTONE PARK PSYCH. HOSPITAL,GREYSTONE PARK,NJ,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,4581218,13282551.1,-1328255.11,0,0,-1328255.11,-0.28993492778558,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,45812.18,0,0,0,45812.18,0,45812.18,-1328255.11,-0.28993492778558,-1282442.93,-0.27993492778558,-1328255.11,-0.28993492778558,-1328255.11,-0.28993492778558,-1328255.11,-0.28993492778558,-1282442.93,-0.27993492778558,-531302.044,-0.115973971114232,-796953.066,-0.173960956671348,-1062604.088,-0.231947942228464,-1328255.11,-0.28993492778558
829435,104001,SOUTH FLORIDA STATE HOSPITAL,PEMBROKE PINES,FL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,1761750,4219852.1,-421985.21,0,0,-421985.21,-0.239526158649071,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,17617.5,0,0,0,17617.5,0,17617.5,-421985.21,-0.239526158649071,-404367.71,-0.229526158649071,-421985.21,-0.239526158649071,-421985.21,-0.239526158649071,-421985.21,-0.239526158649071,-404367.71,-0.229526158649071,-168794.084,-0.0958104634596282,-253191.126,-0.143715695189442,-337588.168,-0.191620926919256,-421985.21,-0.239526158649071
825601,314005,ANCORA PSYCHIATRIC HOSPITAL,ANCORA,NJ,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,6124099,13374210.3,-1337421.03,0,0,-1337421.03,-0.218386578989007,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,61240.99,0,0,0,61240.99,0,61240.99,-1337421.03,-0.218386578989007,-1276180.04,-0.208386578989007,-1337421.03,-0.218386578989007,-1337421.03,-0.218386578989007,-1337421.03,-0.218386578989007,-1276180.04,-0.208386578989007,-534968.412,-0.0873546315956029,-802452.618,-0.131031947393404,-1069936.824,-0.174709263191206,-1337421.03,-0.218386578989007
825734,64003,COLORADO MENTAL HEALTH INST-FT LOGAN,DENVER,CO,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,3449599,6295060.5,-629506.05,0,0,-629506.05,-0.182486732515866,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,34495.99,0,0,0,34495.99,0,34495.99,-629506.05,-0.182486732515866,-595010.06,-0.172486732515866,-629506.05,-0.182486732515866,-629506.05,-0.182486732515866,-629506.05,-0.182486732515866,-595010.06,-0.172486732515866,-251802.42,-0.0729946930063466,-377703.63,-0.10949203950952,-503604.84,-0.145989386012693,-629506.05,-0.182486732515866
827961,494021,WESTERN STATE HOSPITAL,STAUNTON,VA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,7459541,11049694.8,-1104969.48,0,0,-1104969.48,-0.14812834730716,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,74595.41,0,0,0,74595.41,0,74595.41,-1104969.48,-0.14812834730716,-1030374.07,-0.13812834730716,-1104969.48,-0.14812834730716,-1104969.48,-0.14812834730716,-1104969.48,-0.14812834730716,-1030374.07,-0.13812834730716,-441987.792,-0.059251338922864,-662981.688,-0.088877008384296,-883975.584,-0.118502677845728,-1104969.48,-0.14812834730716
827821,254009,NORTH MISSISSIPPI STATE HOSPITAL,TUPELO,MS,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,653603,966429,-96642.9,0,0,-96642.9,-0.147861775420247,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,6536.03,0,0,0,6536.03,0,6536.03,-96642.9,-0.147861775420247,-90106.87,-0.137861775420247,-96642.9,-0.147861775420247,-96642.9,-0.147861775420247,-96642.9,-0.147861775420247,-90106.87,-0.137861775420247,-38657.16,-0.059144710168099,-57985.74,-0.0887170652521485,-77314.32,-0.118289420336198,-96642.9,-0.147861775420247
826605,104007,NORTHEAST FLORIDA STATE HOSPITAL,MACCLENNY,FL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,7602808,10598124.9,-1059812.49,0,0,-1059812.49,-0.139397508131206,Tier 0 - not eligible,none,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,76028.08,0,0,0,76028.08,0,76028.08,-1059812.49,-0.139397508131206,-983784.41,-0.129397508131206,-1059812.49,-0.139397508131206,-1059812.49,-0.139397508131206,-1059812.49,-0.139397508131206,-983784.41,-0.129397508131206,-423924.996,-0.0557590032524825,-635887.494,-0.0836385048787238,-847849.992,-0.111518006504965,-1059812.49,-0.139397508131206
